Date,Open,High,Low,Close,Volume,OpenInterest
1627358400,34.69,35.19,34.4529,35.1,148545,0
1627444800,35.25,35.25,34.31,34.62,75851,0
1627531200,34.81,35.005,34.515,34.93,97245,0
1627617600,35.01,35.34,34.3,34.4,111802,0
1627876800,34.41,34.79,34.36,34.72,89754,0
1627963200,34.7,35.14,34.47,34.75,101403,0
1628049600,34.47,34.93,33.64,33.68,126897,0
1628136000,33.75,34.36,33.53,34.11,90688,0
1628222400,34.13,34.63,34.13,34.34,61701,0
1628481600,34.5,34.58,34.08,34.47,131275,0
1628568000,34.55,35.37,34.34,35.36,130664,0
1628654400,35.36,35.5,34.64,34.69,85381,0
1628740800,34.67,34.67,34.04,34.33,87861,0
1628827200,34.51,34.82,34.42,34.69,46829,0
1629086400,34.69,34.91,34.1001,34.21,118795,0
1629172800,33.98,34.59,33.8501,34.48,84431,0
1629259200,34.55,34.8073,33.3,33.32,108244,0
1629345600,33.24,33.27,32.2,32.49,203017,0
1629432000,32.47,32.51,31.88,31.915,146367,0
1629691200,32.07,32.32,31.57,32.07,147436,0
1629777600,32.25,32.25,31.6,32.01,168810,0
1629864000,31.8,32.26,31.695,31.98,133116,0
1629950400,31.93,31.99,31.57,31.57,120906,0
1630036800,31.48,31.95,31.39,31.53,141832,0
1630296000,31.52,32.22,31.52,31.65,108990,0
1630382400,31.54,31.895,31.31,31.62,153345,0
1630468800,31.75,31.9,31.42,31.73,136899,0
1630555200,31.72,32.1,31.475,31.87,130736,0
1630641600,31.69,31.8,31.44,31.59,161829,0
1630987200,31.51,31.56,30.81,30.87,230026,0
1631073600,30.96,31.86,30.74,31.55,275657,0
1631160000,31.3,31.529,30.88,30.9,131203,0
1631246400,30.89,31,30.29,30.35,169491,0
1631505600,30.55,30.97,30.15,30.19,130953,0
1631592000,30.26,30.35,29.9001,30.16,155501,0
1631678400,30.23,30.51,30.02,30.4,151216,0
1631764800,30.49,30.74,29.88,30.42,109414,0
1631851200,30.45,31.32,30.35,31.03,229333,0
1632110400,30.75,31.4,30.75,31.24,176825,0
1632196800,31.34,31.34,30.32,30.37,112514,0
1632283200,30.56,30.6101,30.12,30.25,79440,0
1632369600,30.29,30.5016,30.09,30.2,64148,0
1632456000,30.05,30.38,29.95,30.3,96545,0
1632715200,30.39,30.9304,30.29,30.46,77246,0
1632801600,30.29,30.67,30.25,30.35,89628,0
1632888000,30.36,31.01,30.36,30.9,102202,0
1632974400,30.69,30.77,30.28,30.42,121446,0
1633060800,30.52,30.72,30.19,30.54,73997,0
1633320000,30.43,31.18,30.43,30.91,111794,0
1633406400,30.94,31.3,30.765,31.15,119116,0
1633492800,30.96,31.46,30.81,31.43,109500,0
1633579200,31.55,32.12,31.3001,31.79,144335,0
1633665600,31.67,31.79,31.2,31.2,82372,0
1633924800,31.14,31.53,31.01,31.32,58670,0
1634011200,31.3,31.5,31.16,31.32,41408,0
1634097600,31.2,31.22,30.93,31.19,37994,0
1634184000,31.26,31.73,31.2,31.7,56485,0
1634270400,31.89,32,31.45,31.46,78634,0
1634529600,31.36,31.95,31.2,31.55,60524,0
1634616000,31.56,31.93,31.42,31.88,79062,0
1634702400,31.93,32.36,31.77,31.95,62284,0
1634788800,32.03,32.27,31.59,31.68,65409,0
1634875200,31.58,31.7999,31.43,31.55,54125,0
1635134400,31.49,31.63,31.18,31.49,52474,0
1635220800,31.38,31.63,31.2,31.52,85603,0
1635307200,31.45,31.79,31.39,31.54,78382,0
1635393600,31.77,32,31.43,31.89,121420,0
1635480000,31.65,32,31.45,31.63,105876,0
1635739200,31.63,32.51,31.545,32.42,114468,0
1635825600,32.37,32.68,32.02,32.41,80026,0
1635912000,32.55,34,32.55,33.9,178352,0
1635998400,33.72,33.935,33.13,33.24,51296,0
1636084800,33.52,33.77,33.2185,33.31,81208,0
1636347600,33.34,33.34,32.7541,32.84,68394,0
1636434000,32.83,33.23,32.5601,32.59,61379,0
1636520400,32.58,32.64,32.16,32.21,58468,0
1636606800,32.35,32.37,31.95,32.15,57908,0
1636693200,32.23,32.23,31.83,31.94,81556,0
1636952400,32.07,32.34,31.77,32.25,57587,0
1637038800,32.15,32.29,31.77,32.19,92851,0
1637125200,32.15,32.85,32.13,32.77,95527,0
1637211600,32.79,32.85,32.155,32.32,55033,0
1637298000,32.22,32.475,31.995,32.15,71270,0
1637557200,32.22,32.75,32.0459,32.63,52514,0
1637643600,32.79,33.19,32.65,33.02,57078,0
1637730000,33.04,33.29,32.755,33.14,42683,0
1637902800,32.79,33.1367,32.02,32.08,52378,0
1638162000,32.15,32.15,31.47,31.67,81234,0
1638248400,31.48,31.805,31.42,31.45,123356,0
1638334800,31.79,32.1,31.46,31.46,80809,0
1638421200,31.63,32.65,31.63,32.55,87029,0
1638507600,32.59,33.44,32.475,32.73,137621,0
1638766800,34.3,36.74,34.28,36,519538,0
1638853200,35.91,36.53,35.21,36.03,220629,0
1638939600,36.04,37.28,36.04,37.01,173116,0
1639026000,36.76,37.86,36.76,37.64,242112,0
1639112400,37.75,38.505,36.93,38.15,192088,0
1639371600,38.05,38.75,37.48,38.47,146800,0
1639458000,38.42,39.2,37.97,38.04,222605,0
1639544400,38.3,39.13,38.1044,38.585,170076,0
