Date,Open,High,Low,Close,Volume,OpenInterest,macd,signal,histogram,rsi
2006-03-07,1875.65,1875.65,1859.96,1872.6,6692670,0.0,12.376035322145754,17.41293117789667,-5.036895855750917,51.12613141137432
2006-03-08,1872.55,1878.58,1851.02,1863.98,8018450,0.0,9.950992237040055,15.920543389725347,-5.969551152685293,48.3867156148255
2006-03-09,1868.3,1882.78,1868.3,1878.8,6622350,0.0,9.119850307261686,14.560404773232616,-5.44055446597093,53.04496576354003
2006-03-10,1877.06,1899.23,1870.76,1899.23,8853560,0.0,9.994484404360946,13.647220699458282,-3.652736295097336,58.59300890808584
2006-03-13,1900.52,1913.72,1900.52,1912.48,6994370,0.0,11.622821837651372,13.242340927096901,-1.6195190894455287,61.749650476083666
2006-03-14,1911.59,1916.74,1904.48,1916.74,10508660,0.0,13.105960033674819,13.215064748412486,-0.1091047147376667,62.73332328896951
2006-03-15,1917.06,1926.66,1917.06,1921.08,11538780,0.0,14.46481805011831,13.46501540875365,0.9998026413646599,63.75594922751523
2006-03-16,1922.08,1923.94,1911.28,1919.86,9631980,0.0,15.26728723052156,13.825469773107233,1.4418174574143272,63.23068381861326
2006-03-17,1920.1,1937.32,1910.25,1916.22,8344570,0.0,15.431645850717814,14.14670498862935,1.2849408620884635,61.60001729394858
2006-03-20,1916.62,1931.98,1916.56,1921.02,3922110,0.0,15.767463620378749,14.47085671497923,1.2966069053995177,62.95667949074787
2006-03-21,1921.24,1924.08,1905.51,1924.08,6556770,0.0,16.094985079567323,14.79568238789685,1.2993026916704729,63.83389698132918
2006-03-22,1920.14,1936.31,1913.7,1934.24,5805110,0.0,16.97865590850938,15.232277092019357,1.746378816490024,66.65719348420812
2006-03-23,1934.61,1939.24,1925.23,1930.06,5087210,0.0,17.144054353879937,15.614632544391473,1.5294218094884648,64.42874943692851
2006-03-24,1929.79,1937.5,1926.72,1935.44,4443610,0.0,17.507439980835215,15.993194031680222,1.5142459491549936,66.00408168756388
2006-03-27,1936.14,1936.14,1913.24,1914.26,5060350,0.0,15.903056184509069,15.975166462245992,-0.07211027773692358,55.57025166364161
2006-03-28,1914.91,1923.26,1899.52,1905.72,6404340,0.0,13.783575361922658,15.536848242181327,-1.7532728802586686,52.00081474854616
2006-03-29,1905.92,1915.35,1899.56,1913.15,5903380,0.0,12.55864223468916,14.941207040682894,-2.3825648059937343,54.725560926039094
2006-03-30,1917.6,1940.84,1917.6,1937.3,6316680,0.0,13.382314089595184,14.629428450465353,-1.2471143608701691,62.23048927019931
2006-03-31,1936.18,1936.18,1920.32,1926.87,5652160,0.0,13.043113245551922,14.312165409482667,-1.2690521639307448,57.77604873368654
2006-04-03,1930.0,1940.56,1928.62,1939.32,4274110,0.0,13.62188052448596,14.174108432483326,-0.5522279079973664,61.33391693745738
2006-04-04,1937.54,1937.54,1921.59,1925.06,4960390,0.0,12.782545708556881,13.89579588769804,-1.1132501791411578,55.559306900870276
2006-04-05,1926.64,1932.91,1917.68,1931.96,5747080,0.0,12.529704519911093,13.62257761414065,-1.0928730942295566,57.63764548167121
2006-04-06,1933.0,1939.85,1924.36,1930.64,6133720,0.0,12.083521770745165,13.314766445461553,-1.2312446747163879,57.08761482264895
2006-04-07,1930.02,1937.3,1911.13,1911.56,7052070,0.0,10.074193157914351,12.666651787952114,-2.592458630037763,49.704116987208195
2006-04-10,1911.18,1921.76,1906.9,1921.76,4919240,0.0,9.198802442358328,11.973081918833358,-2.77427947647503,53.18964571565402
2006-04-11,1920.44,1921.81,1891.0,1894.4,7890730,0.0,6.225561255613911,10.82357778618947,-4.598016530575558,44.31778218477266
2006-04-12,1893.46,1895.58,1876.74,1888.47,8234850,0.0,3.3521037873028945,9.329282986412155,-5.97717919910926,42.65704170173656
2006-04-13,1888.62,1893.76,1877.84,1889.97,4969440,0.0,1.1822769527309447,7.699881779675913,-6.517604826944968,43.23648941021508
2006-04-18,1889.62,1889.62,1874.86,1885.4,6451870,0.0,-0.8957614726768952,5.980753129205351,-6.8765146018822465,41.849002512417925
2006-04-19,1889.23,1912.59,1889.23,1910.48,7220510,0.0,-0.5129623874815934,4.682010025867963,-5.194972413349556,51.11962705863729
2006-04-20,1910.46,1939.14,1910.46,1930.0,8540850,0.0,1.3499481480698705,4.015597650308345,-2.665649502238474,56.88136840599851
2006-04-21,1931.78,1946.18,1931.78,1944.23,6732460,0.0,3.929266110133767,3.998331342273429,-0.06906523213966187,60.533586312898244
2006-04-24,1942.28,1942.28,1929.34,1931.14,4340050,0.0,4.861104785709358,4.170886030960615,0.6902187547487433,55.84745425897819
2006-04-25,1932.32,1944.32,1930.3,1935.54,6044890,0.0,5.8867777675909565,4.514064378286683,1.3727133893042733,57.051016949816756
2006-04-26,1936.84,1946.08,1936.53,1943.5,4953020,0.0,7.258267679120991,5.062905038453545,2.1953626406674456,59.21691550332073
2006-04-27,1944.72,1944.72,1916.05,1932.71,11452280,0.0,7.389340770158697,5.528192184794576,1.8611485853641208,55.1564607328607
2006-04-28,1932.96,1932.96,1916.87,1919.95,6560510,0.0,6.389932613334622,5.700540270502585,0.6893923428320372,50.72670797736517
2006-05-02,1919.62,1932.1,1915.48,1931.12,4944180,0.0,6.425154910827587,5.845463198567586,0.5796917122600007,54.1947587964808
2006-05-03,1932.64,1939.66,1908.8,1910.98,7368700,0.0,4.772919902757167,5.6309545394055025,-0.8580346366483358,47.6786437526431
2006-05-04,1911.28,1921.83,1903.18,1921.54,7442980,0.0,4.266434698112107,5.358050571146824,-1.0916158730347165,51.005025772385046
2006-05-05,1922.66,1937.16,1918.32,1937.16,6599110,0.0,5.067035353183883,5.299847527554236,-0.23281217437035284,55.51061249141709
2006-05-08,1938.87,1948.7,1936.34,1938.76,4693400,0.0,5.764177913673848,5.392713604778158,0.37146430889568993,55.95739529741463
2006-05-09,1939.8,1945.47,1933.18,1945.47,4555380,0.0,6.779954245525914,5.670161732927709,1.1097925125982053,57.868288211879374
2006-05-10,1941.69,1944.89,1931.78,1931.78,4926000,0.0,6.406446195033823,5.817418625348932,0.589027569684891,52.8318365094502
2006-05-11,1932.01,1947.3,1918.34,1918.93,8271950,0.0,5.015732523622091,5.657081405003565,-0.6413488813814734,48.5597065615566
2006-05-12,1914.91,1914.91,1875.22,1875.22,13424760,0.0,0.3821450884861406,4.602094141700079,-4.219949053213939,37.462614434347806
2006-05-15,1873.2,1873.2,1840.48,1855.58,14605180,0.0,-4.819237034067555,2.7178279065465523,-7.5370649406141075,33.73246232370289
2006-05-16,1855.73,1875.06,1846.18,1865.18,11174780,0.0,-8.073661921720031,0.5595299408932353,-8.633191862613266,37.032792034924555
2006-05-17,1867.16,1875.21,1802.6,1802.68,17887180,0.0,-15.517172452823843,-2.6558105378501806,-12.861361914973662,27.448360291456908
2006-05-18,1803.7,1824.77,1779.14,1803.16,21682280,0.0,-21.133858225594167,-6.351420075398978,-14.78243815019519,27.60332914198503
2006-05-19,1804.13,1819.19,1800.84,1812.66,12128720,0.0,-24.53571906493744,-9.98827987330667,-14.547439191630769,30.755776063662424
2006-05-22,1811.18,1811.18,1763.52,1769.88,16416270,0.0,-30.334034889893474,-14.057430876624032,-16.27660401326944,25.393454728394246
2006-05-23,1770.78,1818.7,1770.78,1810.14,13816850,0.0,-31.31956398477473,-17.509857498254174,-13.809706486520557,36.59695951158213
2006-05-24,1808.56,1808.56,1771.46,1787.43,15294210,0.0,-33.54640798806031,-20.717167596215404,-12.829240391844905,33.53755812429674
2006-05-25,1789.68,1817.5,1777.59,1817.5,11291100,0.0,-32.510044651739236,-23.075743007320174,-9.434301644419062,40.61635254970597
2006-05-26,1823.58,1849.9,1823.21,1849.9,10271270,0.0,-28.742978850898226,-24.209190176035783,-4.533788674862443,47.14824044813017
2006-05-29,1848.24,1848.24,1838.51,1839.78,2158090,0.0,-26.271312153932513,-24.621614571615133,-1.6496975823173798,45.466034679295426
2006-05-30,1838.84,1841.65,1790.82,1795.46,12602200,0.0,-27.570931554840627,-25.211477968260233,-2.3594535865803934,38.917263115896255
2006-05-31,1790.9,1820.92,1771.2,1818.58,13969180,0.0,-26.43062274865929,-25.455306924340046,-0.9753158243192424,43.48994758043595
2006-06-01,1817.41,1826.42,1797.64,1824.16,9903870,0.0,-24.790886530156286,-25.322422845503294,0.5315363153470081,44.5684979837908
2006-06-02,1828.22,1844.44,1811.48,1818.44,10679550,0.0,-23.679971982552615,-24.99393267291316,1.3139606903605454,43.648824218094155
2006-06-05,1818.42,1819.3,1796.36,1802.16,6816870,0.0,-23.8384295651133,-24.76283205135319,0.9244024862398881,41.052333898413124
2006-06-06,1799.29,1799.29,1759.93,1764.55,13110070,0.0,-26.69114214899855,-25.14849407088226,-1.5426480781162901,35.76002071802908
2006-06-07,1768.2,1787.84,1756.12,1781.18,12076920,0.0,-27.29539112897669,-25.577873482501147,-1.7175176464755424,39.475481052410814
2006-06-08,1778.44,1778.44,1731.18,1731.18,18618490,0.0,-31.446350972219534,-26.751568980444826,-4.694781991774708,33.24893246558854
2006-06-09,1735.14,1765.85,1735.14,1760.5,10558920,0.0,-32.001247134620826,-27.801504611280027,-4.199742523340799,39.29563388094887
2006-06-12,1759.72,1764.14,1738.53,1740.38,12629950,0.0,-33.67632250818747,-28.976468190661517,-4.699854317525951,36.83009507798385
2006-06-13,1738.16,1738.16,1696.38,1704.01,24814350,0.0,-37.50623828510493,-30.6824222095502,-6.823816075554728,32.82122207215471
2006-06-14,1705.4,1716.86,1689.83,1707.1,22901700,0.0,-39.83296730365737,-32.512531228371635,-7.320436075285734,33.48366373805577
2006-06-15,1711.62,1748.32,1711.62,1746.62,15990240,0.0,-38.04937360248164,-33.61989970319364,-4.4294738992879985,41.43752649628263
2006-06-16,1754.2,1772.14,1729.78,1731.78,15146360,0.0,-37.40217769868309,-34.37635530229153,-3.025822396391561,39.52619326314014
2006-06-19,1734.94,1760.26,1734.94,1745.12,8572670,0.0,-35.40472019344293,-34.58202828052181,-0.8226919129211154,42.11109782630615
2006-06-20,1737.3,1757.42,1726.57,1757.42,8479710,0.0,-32.455091433571624,-34.156640911131774,1.7015494775601496,44.46806730856606
2006-06-21,1759.93,1763.43,1738.11,1763.42,9412950,0.0,-29.2956376595007,-33.18444026080556,3.88880260130486,45.63096391083479
2006-06-22,1771.32,1785.62,1761.86,1772.42,8935270,0.0,-25.768479999934925,-31.701248208631434,5.932768208696508,47.409970948619915
2006-06-23,1772.8,1782.03,1765.0,1775.08,6445640,0.0,-22.499185765233506,-29.86083571995185,7.361649954718345,47.95203869412089
2006-06-26,1777.04,1783.28,1764.3,1767.42,5308620,0.0,-20.292426056960494,-27.94715378735358,7.654727730393088,46.466705608531996
2006-06-27,1770.24,1777.97,1750.36,1753.46,7549380,0.0,-19.445848780598453,-26.246892786002558,6.801044005404105,43.803718347957016
2006-06-28,1751.65,1763.04,1742.36,1753.04,7390950,0.0,-18.594475144923535,-24.716409257786754,6.121934112863219,43.722532362023536
2006-06-29,1759.77,1791.95,1759.77,1791.3,8587990,0.0,-14.66346189594833,-22.705819785419074,8.042357889470743,52.38082595719355
2006-06-30,1796.0,1827.51,1796.0,1824.46,9143210,0.0,-8.771261066740635,-19.918908041683387,11.147646974942752,58.36025916125713
2006-07-03,1824.46,1831.46,1819.54,1831.46,3385250,0.0,-3.496502456201597,-16.63442692458703,13.137924468385432,59.51592061980636
2006-07-04,1832.3,1835.38,1823.02,1835.38,2190590,0.0,0.9886959133796154,-13.1098023569937,14.098498270373316,60.18237537391999
2006-07-05,1828.36,1828.36,1803.9,1809.32,6679190,0.0,2.412612631275124,-10.005319359339936,12.41793199061506,53.837222676178094
2006-07-06,1812.01,1832.77,1812.01,1831.2,6697660,0.0,5.246135841805426,-6.955028319110864,12.20116416091629,57.85492007816892
2006-07-07,1828.5,1835.22,1813.51,1825.66,7305380,0.0,6.9644103133971385,-4.171140592609264,11.135550906006403,56.51374186915642
2006-07-10,1822.71,1835.54,1810.67,1833.26,5536610,0.0,8.837538058223572,-1.5694048624426968,10.40694292066627,57.95374046369373
2006-07-11,1828.28,1828.32,1804.52,1808.89,7380940,0.0,8.260330017181786,0.3965421134821998,7.863787903699587,52.006760793013655
2006-07-12,1816.01,1831.42,1811.13,1815.25,7287070,0.0,8.221317107337882,1.9614971122533362,6.259819995084546,53.35210466890878
2006-07-13,1808.78,1808.78,1776.26,1781.28,11378760,0.0,5.387203663929313,2.6466384225885315,2.7405652413407813,45.94402862351605
2006-07-14,1772.96,1776.02,1754.12,1754.12,9407040,0.0,0.9387420924390426,2.3050591565586336,-1.366317064119591,41.03770851541594
2006-07-17,1756.11,1759.17,1731.38,1749.31,11832320,0.0,-2.9409214418330976,1.2558630368802874,-4.196784478713385,40.218577248979386
2006-07-18,1745.9,1758.16,1737.99,1746.06,9710380,0.0,-6.206288353963146,-0.23656724128839923,-5.969721112674747,39.642795831293405
2006-07-19,1748.74,1792.82,1748.74,1792.82,12477430,0.0,-4.9637548708287795,-1.1820047671964753,-3.7817501036323042,50.600701306925465
2006-07-20,1796.94,1806.24,1790.43,1794.82,9133240,0.0,-3.7741488100159586,-1.7004335757603721,-2.0737152342555865,51.01037935013574
2006-07-21,1790.26,1795.34,1773.12,1778.54,9777460,0.0,-4.097800485333437,-2.1799069576749854,-1.9178935276584514,47.55328288884458
